clock,C_base,C_with_clock,delta_C,HR,CI_low,CI_high,p,C_clock_alone
GrimAge2Mort,0.7458855045771923,0.7693484232104151,0.023462918633222807,2.0558706444682797,1.8376349859649692,2.300023747407578,2.4807138741377487e-36,0.7645472358102513
GrimAgeMort,0.7458855045771923,0.7661310393824071,0.02024553480521485,2.094797970677381,1.855422699374085,2.365055973193815,6.999439214343737e-33,0.764438632136732
DunedinPoAm,0.7458855045771923,0.757478946725373,0.0115934421481807,1.3576133423488421,1.2730490692721583,1.4477949293638464,1.1952803967357554e-20,0.5697529718942743
HorvathTelo,0.7458855045771923,0.7502975288139121,0.004412024236719825,0.8014417426271158,0.7376661083099253,0.8707311608727543,1.6788632320660296e-07,0.6870901908257047
HannumAge,0.7458855045771923,0.7493608221298086,0.0034753175526163194,1.2283317886981953,1.0973779102621561,1.374912843621999,0.00034953389561799325,0.7271468457420572
PhenoAge,0.7458855045771923,0.7490802626398838,0.0031947580626915384,1.4510336082708735,1.3079396475177463,1.609782635099012,2.0981006910146885e-12,0.7239520876793658
HorvathAge,0.7458855045771923,0.7490395362623141,0.0031540316851218497,1.217413910955313,1.0932599302673842,1.3556672018748797,0.0003375416063135377,0.7252191305370904
SkinBloodAge,0.7458855045771923,0.7474602578432216,0.001574753266029294,1.0715575198869591,0.9530204971419699,1.204838218978243,0.24789361632274887,0.7344594930923538
